Item_Number,Name,Year,Theme,Subtheme,Pieces,Minifigures,Image_URL,USD_MSRP,Packaging,Availability,wanted,owned,rating,theme_grp,review_num,query_id,adjust_coef,adj_USD_MSRP
75077,Homing Spider Droid,2015,Star Wars,MicroFighters,102.0,1.0,http://images.brickset.com/sets/images/75077-1.jpg,9.99,Box,Retail,977.0,3763.0,4,Licensed,1,75077-1,1.0,9.99
75078,Imperial Troop Transport,2015,Star Wars,Rebels,141.0,4.0,http://images.brickset.com/sets/images/75078-1.jpg,12.99,Box,Retail,1627.0,7780.0,4.5,Licensed,10,75078-1,1.0,12.99
75079,Shadow Troopers,2015,Star Wars,Expanded Universe,95.0,4.0,http://images.brickset.com/sets/images/75079-1.jpg,12.99,Box,Retail,1540.0,6733.0,4.14285714285714,Licensed,7,75079-1,1.0,12.99
75080,AAT,2015,Star Wars,Episode I,251.0,3.0,http://images.brickset.com/sets/images/75080-1.jpg,24.99,Box,Retail,1430.0,3248.0,4.16666666666667,Licensed,6,75080-1,1.0,24.99
75081,T-16 Skyhopper,2015,Star Wars,Episode IV-VI,247.0,2.0,http://images.brickset.com/sets/images/75081-1.jpg,24.99,Box,Retail,1694.0,5036.0,4.5,Licensed,6,75081-1,1.0,24.99
75082,TIE Advanced Prototype,2015,Star Wars,Rebels,355.0,3.0,http://images.brickset.com/sets/images/75082-1.jpg,39.99,Box,Retail,2237.0,5677.0,4.2,Licensed,5,75082-1,1.0,39.99
75083,AT-DP,2015,Star Wars,Rebels,500.0,4.0,http://images.brickset.com/sets/images/75083-1.jpg,49.99,Box,Retail,2230.0,3725.0,5,Licensed,2,75083-1,1.0,49.99
75084,Wookiee Gunship,2015,Star Wars,Rebels,570.0,4.0,http://images.brickset.com/sets/images/75084-1.jpg,69.99,Box,Retail,2005.0,2475.0,3.33333333333333,Licensed,3,75084-1,1.0,69.99
75085,Hailfire Droid,2015,Star Wars,Episode II,163.0,3.0,http://images.brickset.com/sets/images/75085-1.jpg,19.99,Box,Retail,1573.0,2507.0,5,Licensed,2,75085-1,1.0,19.99
75086,Battle Droid Troop Carrier,2015,Star Wars,Episode I,565.0,15.0,http://images.brickset.com/sets/images/75086-1.jpg,39.99,Box,Retail,1747.0,1749.0,5,Licensed,1,75086-1,1.0,39.99
75087,Anakin's Custom Jedi Starfighter,2015,Star Wars,The Clone Wars,370.0,3.0,http://images.brickset.com/sets/images/75087-1.jpg,39.99,Box,Retail,1809.0,2237.0,5,Licensed,3,75087-1,1.0,39.99
75088,Senate Commando Troopers,2015,Star Wars,Expanded Universe,106.0,4.0,http://images.brickset.com/sets/images/75088-1.jpg,12.99,Box,Retail,1364.0,5186.0,5,Licensed,2,75088-1,1.0,12.99
75089,Geonosis Troopers,2015,Star Wars,Expanded Universe,105.0,4.0,http://images.brickset.com/sets/images/75089-1.jpg,12.99,Box,Retail,1394.0,5873.0,4,Licensed,4,75089-1,1.0,12.99
75090,Ezra's Speeder Bike,2015,Star Wars,Rebels,253.0,3.0,http://images.brickset.com/sets/images/75090-1.jpg,19.99,Box,Retail,1334.0,4012.0,4.5,Licensed,4,75090-1,1.0,19.99
75091,Flash Speeder,2015,Star Wars,Episode I,312.0,5.0,http://images.brickset.com/sets/images/75091-1.jpg,29.99,Box,Retail,1368.0,2698.0,5,Licensed,3,75091-1,1.0,29.99
75092,Naboo Starfighter,2015,Star Wars,Episode I,442.0,9.0,http://images.brickset.com/sets/images/75092-1.jpg,49.99,Box,Retail,1881.0,3047.0,5,Licensed,1,75092-1,1.0,49.99
75093,Death Star Final Duel,2015,Star Wars,No_Subtheme,724.0,5.0,http://images.brickset.com/sets/images/75093-1.jpg,79.99,Box,Retail,3072.0,4629.0,5,Licensed,2,75093-1,1.0,79.99
10527,Ambulance,2014,Duplo,No_Subtheme,14.0,1.0,http://images.brickset.com/sets/images/10527-1.jpg,14.99,Box,Retail - limited,59.0,290.0,0,Pre-school,0,10527-1,0.9838,15.2368367554
75094, Imperial Shuttle Tydirium,2015,Star Wars,No_Subtheme,937.0,5.0,http://images.brickset.com/sets/images/75094-1.jpg,99.99,Box,Retail,3207.0,6782.0,5,Licensed,8,75094-1,1.0,99.99
75095,TIE Fighter,2015,Star Wars,Ultimate Collector Series,1685.0,1.0,http://images.brickset.com/sets/images/75095-1.jpg,199.99,Box,LEGO exclusive,3341.0,4491.0,4,Licensed,1,75095-1,1.0,199.99
75097,Star Wars Advent Calendar,2015,Star Wars,Seasonal,292.0,0.0,http://images.brickset.com/sets/images/75097-1.jpg,39.99,Box,Retail - limited,1157.0,4935.0,0,Licensed,0,75097-1,1.0,39.99
75099,Rey's Speeder,2015,Star Wars,Episode VII,193.0,0.0,http://images.brickset.com/sets/images/75099-1.jpg,19.99,Box,Retail,1470.0,9163.0,4.16666666666667,Licensed,12,75099-1,1.0,19.99
75100,First Order Snowspeeder,2015,Star Wars,Episode VII,444.0,0.0,http://images.brickset.com/sets/images/75100-1.jpg,39.99,Box,Retail,1554.0,3850.0,3.5,Licensed,4,75100-1,1.0,39.99
